iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
USA,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,12830230.381951202,tonnes,annual,2023-10-10 22:40:44.5858,2023-11-02 20:46:28.592861
USA,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,1651392310.4887085,tonnes,annual,2023-10-10 22:40:44.585831,2023-11-02 20:46:28.592861
CIV,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,co2,459942.1773958704,tonnes,annual,2023-10-10 22:40:44.599179,2023-11-02 20:46:28.652307
CIV,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,20883.15299284496,tonnes,annual,2023-10-10 22:40:44.599189,2023-11-02 20:46:28.652307
CIV,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,2182802.29930558,tonnes,annual,2023-10-10 22:40:44.599218,2023-11-02 20:46:28.652307
CMR,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,co2,4402406.994833671,tonnes,annual,2023-10-10 22:40:44.599731,2023-11-02 20:46:28.652307
CIV,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,1185525.0295851172,tonnes,annual,2023-10-10 22:40:44.544061,2023-11-09 22:35:18.620909
CMR,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,8330962.38241605,tonnes,annual,2023-10-10 22:40:44.544648,2023-11-09 22:35:18.620909
RUS,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,1336722868.818624,tonnes,annual,2023-10-10 22:40:44.577261,2023-11-09 22:35:18.689672
USA,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,975239169.3598802,tonnes,annual,2023-10-10 22:40:44.585822,2023-11-09 22:35:18.689672
CIV,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,1082260.1365826502,tonnes,annual,2023-10-10 22:40:44.59921,2023-11-09 22:35:18.754762
CMR,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,145128.066448608,tonnes,annual,2023-10-10 22:40:44.599741,2023-11-02 20:46:28.652307
CMR,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,16375472.476843832,tonnes,annual,2023-10-10 22:40:44.599769,2023-11-02 20:46:28.652307
GBR,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,co2,20435467.14279436,tonnes,annual,2023-10-10 22:40:44.608858,2023-11-02 20:46:28.652307
GBR,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,454179.1183245511,tonnes,annual,2023-10-10 22:40:44.608869,2023-11-02 20:46:28.652307
GBR,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,57905244.40456982,tonnes,annual,2023-10-10 22:40:44.608897,2023-11-02 20:46:28.652307
RUS,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,co2,840169729.5990276,tonnes,annual,2023-10-10 22:40:44.632251,2023-11-02 20:46:28.652307
RUS,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,17156987.009199876,tonnes,annual,2023-10-10 22:40:44.632261,2023-11-02 20:46:28.652307
RUS,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,2255621157.858017,tonnes,annual,2023-10-10 22:40:44.632302,2023-11-02 20:46:28.652307
USA,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,co2,658607715.4139016,tonnes,annual,2023-10-10 22:40:44.640771,2023-11-02 20:46:28.710282
USA,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,14688078.181860495,tonnes,annual,2023-10-10 22:40:44.640781,2023-11-02 20:46:28.710282
USA,2019-01-01 00:00:00,2019-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,1870374165.417392,tonnes,annual,2023-10-10 22:40:44.640808,2023-11-02 20:46:28.710282
CIV,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,co2,515670.693521057,tonnes,annual,2023-10-10 22:40:44.654067,2023-11-02 20:46:28.710282
CIV,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,21535.08893034273,tonnes,annual,2023-10-10 22:40:44.654078,2023-11-02 20:46:28.710282
CIV,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,2292315.5302743325,tonnes,annual,2023-10-10 22:40:44.654107,2023-11-02 20:46:28.710282
CMR,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,co2,3978923.955169661,tonnes,annual,2023-10-10 22:40:44.654639,2023-11-02 20:46:28.710282
CMR,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,122366.23860617656,tonnes,annual,2023-10-10 22:40:44.654649,2023-11-02 20:46:28.710282
CMR,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,14074138.640179228,tonnes,annual,2023-10-10 22:40:44.654679,2023-11-02 20:46:28.710282
GBR,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,co2,23437863.495704044,tonnes,annual,2023-10-10 22:40:44.663425,2023-11-02 20:46:28.710282
GBR,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,488307.43541398767,tonnes,annual,2023-10-10 22:40:44.663443,2023-11-02 20:46:28.710282
GBR,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,63723226.917358026,tonnes,annual,2023-10-10 22:40:44.663476,2023-11-02 20:46:28.710282
RUS,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,co2,783379877.2146853,tonnes,annual,2023-10-10 22:40:44.687048,2023-11-02 20:46:28.765928
RUS,2020-01-01 00:00:00,2020-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,15552539.983847983,tonnes,annual,2023-10-10 22:40:44.687058,2023-11-02 20:46:28.765928
